file name,function,slicing criterion,initial number of instrs,slice size without pointers,slice size,slice size difference,reduction factor,cfg_time (ms),spec_time (ms),vsa_time (ms),control_time_without_pointers (ms),control_time (ms),data_time_without_pointers (ms),data_time (ms),mem_time_without_pointers (ms),mem_time (ms),global_time_without_pointers (ms),global_time (ms),instr_to_keep_time_without_pointers (ms),instr_to_keep_time (ms),slicing_time_without_pointers (ms),slicing_time (ms),total_time_difference (ms)
examples/slices_that_may_grow/----example2.wat,0,0_0,3,2,2,0,0.,0.0429153442383,0.00405311584473,0.686883926392,0.00286102294922,0.00119209289551,0.00810623168945,0.00405311584473,0.0529289245605,0.0548362731934,0.000953674316406,0.,0.000953674316406,0.000953674316406,0.204086303711,0.,0.217437744141
examples/slices_that_may_grow/----example2.wat,0,0_1,3,4,4,0,0.,0.0429153442383,0.00405311584473,0.686883926392,0.00286102294922,0.00119209289551,0.00810623168945,0.00405311584473,0.0529289245605,0.0548362731934,0.000953674316406,0.,0.000953674316406,0.,0.000953674316406,0.,0.0133514404297
examples/slices_that_may_grow/----example2.wat,0,0_2,3,3,3,0,0.,0.0429153442383,0.00405311584473,0.686883926392,0.00286102294922,0.00119209289551,0.00810623168945,0.00405311584473,0.0529289245605,0.0548362731934,0.000953674316406,0.,0.000953674316406,0.00119209289551,0.,0.000953674316406,0.0145435333252
examples/slices_that_may_grow/----example2.wat,1,1_0,34,1,1,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00381469726562,0.00309944152832,0.00500679016113,0.00381469726562,0.44322013855
examples/slices_that_may_grow/----example2.wat,1,1_1,34,3,3,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00476837158203,0.00309944152832,0.00381469726562,0.00405311584473,0.441312789917
examples/slices_that_may_grow/----example2.wat,1,1_2,34,1,1,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00405311584473,0.00309944152832,0.00286102294922,0.00309944152832,0.440120697021
examples/slices_that_may_grow/----example2.wat,1,1_3,34,3,3,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00405311584473,0.00286102294922,0.00286102294922,0.00309944152832,0.439882278442
examples/slices_that_may_grow/----example2.wat,1,1_4,34,1,1,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00429153442383,0.00309944152832,0.00286102294922,0.00286102294922,0.439643859863
examples/slices_that_may_grow/----example2.wat,1,1_5,34,3,3,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00405311584473,0.00309944152832,0.00166893005371,0.00309944152832,0.438928604126
examples/slices_that_may_grow/----example2.wat,1,1_6,34,1,1,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00309944152832,0.00309944152832,0.00309944152832,0.00190734863281,0.440120697021
examples/slices_that_may_grow/----example2.wat,1,1_7,34,3,3,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00405311584473,0.00286102294922,0.00309944152832,0.00309944152832,0.440120697021
examples/slices_that_may_grow/----example2.wat,1,1_8,34,1,1,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00381469726562,0.00309944152832,0.00190734863281,0.00309944152832,0.439405441284
examples/slices_that_may_grow/----example2.wat,1,1_9,34,3,3,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00309944152832,0.00309944152832,0.00286102294922,0.00309944152832,0.441074371338
examples/slices_that_may_grow/----example2.wat,1,1_10,34,4,4,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00405311584473,0.00405311584473,0.00190734863281,0.00286102294922,0.439882278442
examples/slices_that_may_grow/----example2.wat,1,1_11,34,3,3,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00405311584473,0.00286102294922,0.00309944152832,0.00309944152832,0.440120697021
examples/slices_that_may_grow/----example2.wat,1,1_12,34,3,3,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00381469726562,0.00309944152832,0.00214576721191,0.00309944152832,0.439643859863
examples/slices_that_may_grow/----example2.wat,1,1_13,34,5,5,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00381469726562,0.00524520874023,0.00286102294922,0.00190734863281,0.441312789917
examples/slices_that_may_grow/----example2.wat,1,1_14,34,5,5,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00309944152832,0.00381469726562,0.00309944152832,0.00309944152832,0.442028045654
examples/slices_that_may_grow/----example2.wat,1,1_15,34,5,5,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00381469726562,0.00309944152832,0.00309944152832,0.00214576721191,0.439643859863
examples/slices_that_may_grow/----example2.wat,1,1_16,34,7,7,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00405311584473,0.00405311584473,0.00309944152832,0.00214576721191,0.440359115601
examples/slices_that_may_grow/----example2.wat,1,1_17,34,7,7,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00381469726562,0.00429153442383,0.00286102294922,0.00190734863281,0.440359115601
examples/slices_that_may_grow/----example2.wat,1,1_18,34,7,7,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00309944152832,0.00309944152832,0.00262260437012,0.00309944152832,0.440835952759
examples/slices_that_may_grow/----example2.wat,1,1_19,34,9,9,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00476837158203,0.00429153442383,0.00286102294922,0.00214576721191,0.439643859863
examples/slices_that_may_grow/----example2.wat,1,1_20,34,10,10,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00500679016113,0.00381469726562,0.00309944152832,0.00309944152832,0.440120697021
examples/slices_that_may_grow/----example2.wat,1,1_21,34,9,9,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00405311584473,0.00309944152832,0.00214576721191,0.00286102294922,0.439167022705
examples/slices_that_may_grow/----example2.wat,1,1_22,34,11,11,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00381469726562,0.00309944152832,0.00309944152832,0.00309944152832,0.44059753418
examples/slices_that_may_grow/----example2.wat,1,1_23,34,13,13,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00619888305664,0.00381469726562,0.00405311584473,0.00190734863281,0.438690185547
examples/slices_that_may_grow/----example2.wat,1,1_24,34,11,11,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00405311584473,0.00405311584473,0.00286102294922,0.00309944152832,0.441074371338
examples/slices_that_may_grow/----example2.wat,1,1_25,34,13,13,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.0119209289551,0.00524520874023,0.00572204589844,0.00405311584473,0.438213348389
examples/slices_that_may_grow/----example2.wat,1,1_26,34,15,15,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00500679016113,0.00500679016113,0.00381469726562,0.00214576721191,0.441074371338
examples/slices_that_may_grow/----example2.wat,1,1_27,34,28,25,3,0.107142857143,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.0169277191162,0.014066696167,0.00262260437012,0.00309944152832,0.43797492981
examples/slices_that_may_grow/----example2.wat,1,1_28,34,1,1,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00286102294922,0.00309944152832,0.00309944152832,0.00190734863281,0.440359115601
examples/slices_that_may_grow/----example2.wat,1,1_29,34,29,5,24,0.827586206897,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.0171661376953,0.00476837158203,0.00309944152832,0.00214576721191,0.427961349487
examples/slices_that_may_grow/----example2.wat,1,1_30,34,12,12,0,0.,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.00619888305664,0.00476837158203,0.00309944152832,0.00309944152832,0.439882278442
examples/slices_that_may_grow/----example2.wat,1,1_31,34,32,18,14,0.4375,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.0181198120117,0.00715255737305,0.00286102294922,0.00286102294922,0.42986869812
examples/slices_that_may_grow/----example2.wat,1,1_32,34,34,20,14,0.411764705882,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.0178813934326,0.00810623168945,0.00286102294922,0.00214576721191,0.430345535278
examples/slices_that_may_grow/----example2.wat,1,1_33,34,34,20,14,0.411764705882,0.0109672546387,0.00882148742676,0.23889541626,0.00309944152832,0.00286102294922,0.235080718994,0.164031982422,0.053882598877,0.0839233398438,0.00309944152832,0.00309944152832,0.0190734863281,0.00882148742676,0.00214576721191,0.00405311584473,0.431060791016
